09/04/2018 01:17:09;127.0.0.1:56533;GET /sub HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:20;127.0.0.1:56534;GET /sub/p.pdf HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:47;192.168.1.6:55446;GET / HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:47;192.168.1.6:55448;GET /favicon.ico HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:48;192.168.1.6:55449;GET /sub HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:49;192.168.1.6:55450;GET / HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:50;192.168.1.6:55451;GET /sub HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:51;192.168.1.6:55452;GET /sub/p.pdf HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:51;192.168.1.6:55453;GET /sub/p.pdf HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
09/04/2018 01:17:52;192.168.1.6:55454;09/04/2018 01:17:52;192.168.1.6:55458;09/04/2018 01:18:10;192.168.1.6:55459;GET / HTTP/1.1;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36
